name	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
EX_so4[e]	0	0	1	1
EX_sphmyln_hs[e]	0	0	1	0
EX_sphmyln180241_hs[e]	0	1	1	0
EX_sphmyln18114_hs[e]	0	1	1	0
EX_sphmyln18115_hs[e]	0	1	1	0
EX_sphmyln18116_hs[e]	0	1	1	0
EX_sphmyln181161_hs[e]	0	1	1	0
EX_sphmyln18117_hs[e]	0	1	1	0
EX_sphmyln18118_hs[e]	0	1	1	0
EX_sphmyln181181_hs[e]	0	1	1	0
EX_sphmyln18120_hs[e]	0	1	1	0
EX_sphmyln181201_hs[e]	0	1	1	0
EX_sphmyln18121_hs[e]	0	1	1	0
EX_sphmyln18122_hs[e]	0	1	1	0
EX_sphmyln181221_hs[e]	0	1	1	0
EX_sphmyln18123_hs[e]	0	1	1	0
EX_sphmyln1824_hs[e]	0	1	1	0
EX_sphmyln1825_hs[e]	0	1	1	0
EX_strdnc[e]	1	1	1	0
EX_tmndnc[e]	0	0	1	1
EX_tsul[e]	0	0	1	1
EX_ttdca[e]	0	1	1	1
EX_ttdcea[e]	0	1	1	1
EX_xolest_hs[e]	0	0	1	1
FAOXC101x	0	0	1	1
FAOXC102C103m	1	1	1	1
FAOXC102C81m	1	1	1	1
FAOXC102m	1	1	1	1
FAOXC103C102m	1	1	1	1
FAOXC121x	1	1	1	0
FAOXC123C102m	1	1	1	1
FAOXC123m	1	1	1	1
FAOXC12DCc	0	0	1	0
FAOXC12DCTc	0	0	1	0
FAOXC12DCx	0	0	1	0
FAOXC140	1	0	1	1
FAOXC143C123m	1	1	1	1
FAOXC14C12m	1	1	1	0
FAOXC14C14OHm	1	1	1	0
FAOXC164C143m	0	0	1	1
FAOXC164C165m	0	0	1	1
FAOXC164m	0	0	1	1
FAOXC165C164m	0	0	1	1
FAOXC180	1	1	1	0
FAOXC1811601m	1	1	1	0
FAOXC1811602m	0	1	1	0
FAOXC181C161m	0	1	1	0
FAOXC18480m	1	0	1	1
FAOXC184C164m	0	0	1	1
FAOXC2031836m	1	0	1	0
FAOXC204	1	0	1	0
FAOXC204184m	1	1	1	0
FAOXC2051843m	0	1	1	0
FAOXC2242046m	0	1	1	0
FAOXC4C4DCc	1	0	1	0
FAOXC61C4x	0	0	1	0
FAOXC61m	1	1	1	1
FAOXC81C61m	1	1	1	1
FBA	1	1	1	0
FBA2	1	1	1	1
FMNALKPle	1	1	1	0
FMNAT	1	1	1	0
FORtr	0	0	1	0
G5SADrm	1	1	1	0
G6Pter	1	0	1	0
GALGLUSIDEtl	0	1	1	0
GALSIDEter	0	1	1	0
GAPD	1	0	1	1
GBAl	0	1	1	0
GD1Btl	0	0	1	0
GD3tlc	0	0	1	0
GGLUCT	1	0	1	1
GGTe_1	1	1	1	0
GLACter	1	0	1	0
GLB1	1	1	1	0
GLCtly	0	1	1	0
GLNPROGLUr	1	1	1	0
GLNPROGLUt	1	1	1	0
GLUTCOADHm	0	0	1	1
GLXO1	0	0	1	0
GLXtm	0	0	1	0
GLYALDtr	1	0	1	1
GLYC_Rt	0	0	1	1
GLYCtm	0	0	1	1
GLYPROPRO1c	1	1	1	0
GLYPROt	1	1	1	0
GLYtp	0	0	1	0
GPAM_hs	0	1	1	0
GRTT	1	0	1	0
HACD1m	1	0	1	0
HACD1x	0	1	1	0
HACD9m	1	1	1	1
HDCEAtr	1	1	1	0
HEX7	1	0	1	1
HEXA2l	0	0	1	0
HISCYSCYSr	1	0	1	1
HISCYSCYSt	1	0	1	1
HMR_0167	0	1	1	0
HMR_0182	1	0	1	0
HMR_0215	1	0	1	0
HMR_0261	0	1	1	0
HMR_0271	0	1	1	0
HMR_0272	0	1	1	0
HMR_0292	1	0	1	0
HMR_0319	1	0	1	0
HMR_0342	1	1	1	0
HMR_0343	1	1	1	0
HMR_0354	1	0	1	1
HMR_0358	1	1	1	0
HMR_0359	1	1	1	0
HMR_0362	1	1	1	1
HMR_0366	0	0	1	1
HMR_0367	0	0	1	1
HMR_0410	1	0	1	0
HMR_0414	1	1	1	0
HMR_0467	0	0	1	1
HMR_0593	0	1	1	0
HMR_0601	0	1	1	0
HMR_0672	0	1	1	0
HMR_0678	0	1	1	0
HMR_0750	0	1	1	0
HMR_0753	0	1	1	0
HMR_0758	0	1	1	0
HMR_0765	1	1	1	0
HMR_0793	0	0	1	0
HMR_0815	0	0	1	0
HMR_0821	0	0	1	0
HMR_0827	0	0	1	0
HMR_0828	0	0	1	0
HMR_0842	0	0	1	0
HMR_0843	0	0	1	0
HMR_0942	1	0	1	0
HMR_0946	1	0	1	0
HMR_0950	1	0	1	0
HMR_0954	1	0	1	0
HMR_0960	1	1	1	0
HMR_0962	1	1	1	0
HMR_0963	1	1	1	0
HMR_0966	0	0	1	0
HMR_0979	1	1	1	0
HMR_0980	1	1	1	0
HMR_0981	1	1	1	0
HMR_1127	1	1	1	0
HMR_1129	1	1	1	0
HMR_1243	1	1	1	0
HMR_1305	0	0	1	0
HMR_1307	0	0	1	0
HMR_1390	1	0	1	0
HMR_1392	1	0	1	0
HMR_2292	0	1	1	0
HMR_2293	0	1	1	0
HMR_2294	0	1	1	0
HMR_2296	0	1	1	0
HMR_2332	1	1	1	0
HMR_2334	1	1	1	0
HMR_2336	1	1	1	0
HMR_2338	1	1	1	0
HMR_2347	0	1	1	0
HMR_2348	0	1	1	0
HMR_2349	0	1	1	0
HMR_2350	0	1	1	0
HMR_2353	0	1	1	0
HMR_2354	0	1	1	0
HMR_2355	0	1	1	0
HMR_2356	0	1	1	0
HMR_2380	1	0	1	0
HMR_2484	1	1	1	0
HMR_2558	0	0	1	0
HMR_2560	0	0	1	0
HMR_2571	0	0	1	0
HMR_2585	0	0	1	1
HMR_2611	0	0	1	1
HMR_2613	1	0	1	1
HMR_2657	1	1	1	0
HMR_2668	1	1	1	0
HMR_2669	0	1	1	0
HMR_2670	0	1	1	0
HMR_2671	0	1	1	0
HMR_2687	0	1	1	0
HMR_2688	0	1	1	0
HMR_2689	0	1	1	0
HMR_2708	0	1	1	0
HMR_2709	0	1	1	0
HMR_2710	0	1	1	0
HMR_2711	0	0	1	0
HMR_2817	1	1	1	0
HMR_2819	1	1	1	0
HMR_2865	0	1	1	1
HMR_2866	0	1	1	1
HMR_3023	1	1	1	0
HMR_3074	1	1	1	0
HMR_3075	1	1	1	0
HMR_3076	1	1	1	0
HMR_3098	0	0	1	0
HMR_3099	0	0	1	0
HMR_3100	0	0	1	0
HMR_3101	0	0	1	0
HMR_3102	0	1	1	0
HMR_3115	1	0	1	1
HMR_3116	1	1	1	0
HMR_3117	1	1	1	0
HMR_3118	1	1	1	0
HMR_3230	1	0	1	0
HMR_3231	1	0	1	0
HMR_3232	1	0	1	0
HMR_3233	1	0	1	0
HMR_3234	0	1	1	0
HMR_3235	0	1	1	0
HMR_3236	0	1	1	0
HMR_3237	0	1	1	0
HMR_3244	0	1	1	0
HMR_3245	0	1	1	0
HMR_3246	0	1	1	0
HMR_3247	0	1	1	0
HMR_3322	0	0	1	1
HMR_3326	1	1	1	0
HMR_3327	1	1	1	0
HMR_3328	1	1	1	0
HMR_3329	1	1	1	0
HMR_3342	1	1	1	0
HMR_3343	1	1	1	0
HMR_3344	1	1	1	0
HMR_3345	1	1	1	0
HMR_3346	1	1	1	0
HMR_3347	1	1	1	0
HMR_3348	1	1	1	0
HMR_3349	1	1	1	0
HMR_3350	1	1	1	0
HMR_3351	1	1	1	0
HMR_3352	1	1	1	0
HMR_3353	1	1	1	0
HMR_3398	1	0	1	1
HMR_3407	1	1	1	0
HMR_3408	0	1	1	0
HMR_3411	0	1	1	0
HMR_3416	0	1	1	0
HMR_3421	0	1	1	0
HMR_3427	1	1	1	0
HMR_3428	0	1	1	1
HMR_3429	0	0	1	1
HMR_3446	1	0	1	0
HMR_3447	1	0	1	0
HMR_3448	1	0	1	0
HMR_3449	1	0	1	0
HMR_3450	1	0	1	0
HMR_3451	1	0	1	0
HMR_3951	0	0	1	0
HMR_4776	1	1	1	0
HMR_4777	0	0	1	0
HMR_6515	1	1	1	1
HMR_6672	1	1	1	0
HMR_6876	1	1	1	0
HMR_7757	1	0	1	0
HMR_8476	1	1	1	0
HMR_9627	1	1	1	0
HMR_9640	1	1	1	0
HMR_9719	0	0	1	1
HOMOVALte	0	0	1	0
HSD11B1r	0	0	1	0
Htr	0	0	1	1
HXCOAtx	1	1	1	0
HYPTROX	1	1	1	0
ILEt5m	0	0	1	1
ILETA	0	0	1	1
ILETAm	0	0	1	1
IMPC	1	1	1	0
IPDPtx	1	0	1	0
KHK	1	1	1	1
L2AADPtr	0	0	1	1
LEUKTRB4tr	0	0	1	0
LEULEULAPc	0	0	1	0
LNLCCPT1	1	0	1	0
LNLCCRNtd	0	0	1	1
LNLNCACPT1	0	0	1	0
LNLNCACPT2	0	0	1	0
LNLNCACRNt	0	0	1	0
LNLNCGCPT2	1	0	1	0
LNSTLSr	0	0	1	0
LPS3	0	0	1	1
LSTO1r	0	0	1	0
LTHSTRLt	0	0	1	0
LYStm	1	0	1	0
MAGt	0	0	1	1
MCLACCYSR	1	0	1	1
MCLOR	1	0	1	1
MERCPLACCYSt	1	0	1	1
MEVK1c	1	0	1	0
MEVK1x	1	0	1	0
MGCHrm	1	0	1	1
MLTHFte2	0	0	1	0
MMEm	1	0	1	1
NDP7er	1	1	1	1
NDPK4m	1	1	1	0
NDPK5m	1	0	1	1
NDPK6m	1	1	1	1
NDPK8m	1	1	1	0
NH4tn	0	0	1	0
NTD6	1	1	1	0
O2tm	1	0	1	0
O2tp	1	0	1	0
OCCOAtx	0	0	1	1
OCD11COACPT1	0	1	1	0
OCD11CRNCACT	0	1	1	0
OCD11CRNCPT2	0	1	1	0
OCT11EFATP	0	1	1	0
PAIL45P_HStn	1	1	1	0
PCt	0	1	1	0
PGISr	0	1	1	0
PGP_hs_tm	0	1	1	0
PGS	0	0	1	0
PGSr	0	0	1	0
PI45P5P	1	1	1	0
PIK4	1	1	1	0
PMEVKc	1	0	1	0
PMEVKx	1	0	1	0
PPItm	1	1	1	1
PPM	1	1	1	0
PRISTCOAtcx	1	1	1	1
PROD2m	1	0	1	0
PROGLNPROr	1	1	1	0
PROGLNPROt	1	1	1	0
PROLYSPROr	1	1	1	0
PROLYSPROt	1	1	1	0
PROPROARGr	1	1	1	0
PROPROARGt	1	1	1	0
PROPROPROr	1	1	1	0
PROPROPROt	1	1	1	0
PROSTGF2t	0	0	1	0
PROSTGI2c	0	0	1	0
PROtm	0	1	1	0
PSt3	1	0	1	0
PUNP1	1	1	1	0
PUNP6	0	1	1	0
PYRt2m	0	0	1	1
r0074	0	1	1	0
r0130	1	0	1	0
r0242	1	1	1	0
r0246	0	0	1	1
r0295	0	0	1	0
r0308	1	0	1	0
r0339	1	0	1	1
r0340	0	0	1	1
r0345	1	1	1	0
r0357	1	0	1	1
r0358	1	0	1	1
r0390	1	0	1	1
r0392	1	0	1	1
r0393	0	0	1	1
r0398	1	1	1	0
r0407	1	1	1	0
r0451	0	0	1	1
r0511	0	1	1	0
r0527	0	0	1	0
r0541	0	0	1	0
r0557	0	0	1	1
r0571	1	0	1	1
r0584	1	0	1	0
r0594	0	0	1	1
r0595	0	0	1	1
r0616	0	0	1	0
r0627	0	0	1	1
r0630	1	1	1	0
r0633	1	0	1	1
r0634	1	1	1	0
r0636	1	0	1	0
r0638	0	0	1	1
r0639	1	0	1	0
r0642	0	1	1	0
r0652	1	1	1	0
r0660	0	0	1	1
r0688	0	0	1	1
r0718	1	0	1	0
r0720	1	0	1	0
r0722	0	1	1	0
r0724	0	1	1	0
r0726	1	1	1	0
r0728	1	1	1	1
r0781	0	0	1	0
r0783	1	0	1	0
r0795	0	0	1	1
r0818	0	0	1	1
r0826	0	0	1	1
r0853	1	0	1	1
r0870	1	1	1	0
r0926	0	0	1	1
r0940	1	0	1	1
r0950	1	0	1	0
r0987	0	0	1	1
r0990	1	0	1	0
r1106	1	1	1	0
r1117	1	1	1	0
r1253	1	1	1	0
r1254	1	1	1	0
r1260	1	1	1	0
r1318	1	0	1	0
r1401	1	1	1	0
r1468	0	0	1	1
r2196	0	0	1	0
r2321	1	0	1	0
r2434	1	0	1	0
r2497	1	0	1	0
r2508	1	1	1	1
r2511	0	0	1	1
r2514e	1	1	1	0
RAI3	1	1	1	0
RE0452M	1	0	1	0
RE0453M	1	1	1	0
RE0577C	1	1	1	0
RE0583C	0	0	1	1
RE0691C	1	1	1	1
RE0830C	0	0	1	1
RE1518X	0	0	1	1
RE1520X	0	0	1	1
RE1521X	0	0	1	1
RE1522X	0	0	1	1
RE1525X	0	0	1	1
RE1526X	0	0	1	1
RE1527X	0	0	1	1
RE1532X	0	0	1	1
RE1533X	0	0	1	1
RE1534X	0	0	1	1
RE1573X	0	0	1	1
RE1897C	1	1	1	1
RE1898C	1	1	1	1
RE1915C	1	1	1	0
RE1916C	1	1	1	0
RE1978C	1	0	1	0
RE2034C	1	1	1	0
RE2563C	0	0	1	1
RE2658C	1	1	1	0
RE2677R	0	1	1	0
RE2954C	0	0	1	1
RE2985M	1	0	1	0
RE2985X	1	0	1	0
RE2986X	1	0	1	0
RE2987X	1	0	1	0
RE2988X	1	0	1	0
RE2989X	1	0	1	0
RE2990X	1	0	1	0
RE2991X	1	0	1	0
RE2992X	1	0	1	0
RE2993X	1	0	1	0
RE2994X	1	0	1	0
RE2996X	1	0	1	0
RE2997X	1	0	1	0
RE3002X	1	0	1	0
RE3011M	1	1	1	0
RE3012C	1	1	1	0
RE3012M	1	1	1	0
RE3033C	0	0	1	0
RE3038C	0	0	1	0
RE3119C	0	0	1	1
RE3120C	0	0	1	1
RE3121C	0	0	1	1
RE3122C	0	0	1	1
RE3198C	1	1	1	0
RE3273C	0	0	1	1
RE3273R	0	0	1	1
RE3307C	1	1	1	0
RE3470C	1	1	1	0
RE3476C	1	1	1	0
RE3488R	0	0	1	0
RE3525R	0	0	1	0
RE3526C	1	1	1	0
RE3556C	1	0	1	0
RE3565C	1	0	1	0
RE3568C	1	0	1	0
RE3587C	1	0	1	0
RE3597C	1	1	1	0
RE3597M	1	1	1	0
RETINALt	1	1	1	0
RIBt	0	0	1	0
RNDR1	0	0	1	1
RTOTAL2FATPc	0	1	1	0
RTOTAL2t	0	0	1	0
RTOTALFATPc	0	1	1	0
Rtotalter	0	0	1	0
SFCYSc	1	0	1	1
SFCYSe	1	0	1	1
sink_arachd[c]	1	0	1	0
sink_crvnc[c]	0	1	1	1
sink_cys_L[c]	1	0	1	1
sink_glygn2[c]	0	0	1	1
sink_pro_L[c]	1	1	1	0
sink_retinol[c]	1	1	1	0
sink_stcoa[c]	1	1	1	0
sink_tmndnc[c]	0	0	1	1
sink_tmndnccoa[c]	0	0	1	1
SMS	0	1	1	0
SMS1	0	1	1	0
SMS10	0	1	1	0
SMS11	0	1	1	0
SMS12	0	1	1	0
SMS13	0	1	1	0
SMS14	0	1	1	0
SMS15	0	1	1	0
SMS16	0	1	1	0
SMS1S2	0	1	1	0
SMS2	0	1	1	0
SMS21e	0	1	1	0
SMS3	0	1	1	0
SMS4	0	1	1	0
SMS5	0	1	1	0
SMS6	0	1	1	0
SMS7	0	1	1	0
SMS8	0	1	1	0
SMS9	0	1	1	0
SOAT12	0	0	1	1
SPHGNtr	0	0	1	0
SPHMYLN180241_hs_SECt	0	1	1	0
SPHMYLN18114_hs_SECt	0	1	1	0
SPHMYLN18115_hs_SECt	0	1	1	0
SPHMYLN18116_hs_SECt	0	1	1	0
SPHMYLN181161_hs_SECt	0	1	1	0
SPHMYLN18117_hs_SECt	0	1	1	0
SPHMYLN18118_hs_SECt	0	1	1	0
SPHMYLN181181_hs_SECt	0	1	1	0
SPHMYLN18120_hs_SECt	0	1	1	0
SPHMYLN181201_hs_SECt	0	1	1	0
SPHMYLN18121_hs_SECt	0	1	1	0
SPHMYLN18122_hs_SECt	0	1	1	0
SPHMYLN181221_hs_SECt	0	1	1	0
SPHMYLN18123_hs_SECt	0	1	1	0
SPHMYLN1824_hs_SECt	0	1	1	0
SPHMYLN1825_hs_SECt	0	1	1	0
SPHMYLNtg	0	1	1	0
SQLEr	0	0	1	0
STRDNCCPT1	1	0	1	1
SUCCCROT	1	0	1	0
SUCCtp	1	0	1	0
TALA	1	1	1	0
TDCHOLAte	1	0	1	0
THYMDt1	0	0	1	1
TKT1	1	0	1	0
TKT2	1	0	1	0
TMNDNCCPT1	1	1	1	1
TPI	1	0	1	0
TRDR	1	0	1	0
TSULt4_3	0	0	1	1
TTDCEAt	0	1	1	1
TXA2tr	0	1	1	0
TYRASE	1	1	1	0
UDPGALt2r	1	1	1	0
UGCG	1	1	1	0
UGT1A10r	1	1	1	1
URIDK3	1	0	1	1
UROLACer	1	0	1	0
XOLESTte	0	0	1	1
12PPDRte	1	1	0	0
13DAMPPOX	1	1	0	1
13DAMPPte	1	1	0	1
15KPROSTGF2c	1	1	0	0
3DSPHR	1	1	0	0
3MOX4HOXPGALDOX	0	1	0	1
5AOPt	1	1	0	1
5MTAte	1	1	0	1
ABT_Dt2	0	1	0	1
ABUTD	1	1	0	1
ADRNCOAtx	0	1	0	1
ADSL2	1	1	0	1
AHCYSte	0	1	0	1
AHCYStr	0	1	0	0
AICARte	0	1	0	0
AIRCr	1	1	0	1
ALCD1	1	1	0	1
ALCD21_L	1	1	0	0
ALR2	1	1	0	0
ALR3	1	1	0	0
AMETAMte	1	1	0	1
AMETr	0	1	0	0
AMETt	0	1	0	1
APAT2rm	0	1	0	1
ARACHDCOAtx	0	1	0	0
ASAH1	0	1	0	0
BALAtmr	0	1	0	1
BAMPPALDOX	1	1	0	1
BILIVERDt	1	1	0	0
BTNt2	1	1	0	1
C04483t2	0	1	0	0
C161CPT2	0	1	0	1
C4tcx	0	1	0	0
C4x	0	1	0	0
CDSm	1	1	0	1
CHOLPtr	1	1	0	1
CHOLtu	0	1	0	0
CMPACNAtn	1	1	0	1
CMPSASn	1	1	0	1
COt	1	1	0	0
CPPPGO	1	1	0	0
CTPtn	1	1	0	1
CYTK1m	1	1	0	1
D_LACtm	1	1	0	0
DADNt4	0	1	0	0
DCK1m	0	1	0	0
DCMPtm	0	1	0	0
DCSPTN1COAtx	0	1	0	1
DCSPTN1CPT1	0	1	0	1
DCSPTN1CPT2	0	1	0	1
DESAT18_10	1	1	0	1
DMNONCOACRNCPT1	1	1	0	0
ETHAMPtr	1	1	0	1
ETHAt	1	1	0	1
EX_12ppd_R[e]	1	1	0	0
EX_13dampp[e]	1	1	0	1
EX_4abutn[e]	1	1	0	1
EX_5aop[e]	1	1	0	1
EX_5mta[e]	1	1	0	1
EX_ade[e]	0	1	0	0
EX_adn[e]	0	1	0	0
EX_aicar[e]	0	1	0	0
EX_ala_B[e]	0	1	0	1
EX_ametam[e]	1	1	0	1
EX_amp[e]	0	1	0	0
EX_biliverd[e]	1	1	0	0
EX_btn[e]	1	1	0	0
EX_chol[e]	0	1	0	0
EX_cholp[e]	1	1	0	1
EX_co[e]	1	1	0	0
EX_dad_2[e]	0	1	0	0
EX_dcsptn1[e]	0	1	0	1
EX_dgsn[e]	0	1	0	0
EX_dhap[e]	1	1	0	0
EX_din[e]	0	1	0	0
EX_etha[e]	1	1	0	1
EX_ethamp[e]	1	1	0	1
EX_fald[e]	1	1	0	1
EX_for[e]	1	1	0	1
EX_gal[e]	1	1	0	1
EX_galt[e]	1	1	0	1
EX_gchola[e]	0	1	0	0
EX_gsn[e]	0	1	0	0
EX_gua[e]	0	1	0	0
EX_hexdtr[e]	1	1	0	1
EX_hxan[e]	0	1	0	0
EX_imp[e]	0	1	0	0
EX_ins[e]	0	1	0	0
EX_k[e]	0	1	0	0
EX_lnlnca[e]	1	1	0	1
EX_M00010[e]	1	1	0	0
EX_mlthf[e]	0	1	0	1
EX_n8aspmd[e]	1	1	0	1
EX_nicrnt[e]	1	1	0	1
